OpportunityId,Name,Subject,Country,SalesUnitId,ADUCategory,Product_Family,Application,Owner,Prognosis,PrognosisDate,ProbabilityId,ProcessName,ADUOpportunityType,SegmentId,ADUEndCustomer,ADULifeOfProject,ADUEstimatedPriceEndCustomer,ADUPiecePotential,annualTotal,ADUCommentsPMLocalValidation,AduLevelOfComplexity,ADUStrategicCustomer,AduPriorityMarket,Date_Created,OPENEDDATE,Opportunity_Number,PROGNOSISDAYS,DATAAREAID,ESTIMATEDREVENUE
OP-005932,DDX,DGE keyboard for telecom,Norway,SE-NORWAY,1-KEYBOARD,1-KEYBOARD,other,Sales Person 31,12 months,2/15/19,30,CPI,CPI,DgE,Other,5,150.0,100,15000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/20/18 0:00,2/20/18,OP-005932,360,fr02,15000
OP-007369,U-SHIN FRANCE SAS,MOD 521 prototypes RSC02 L/R,France,FRANCE,1-AUTOMOTIVE,1-AUTOMOTIVE,other,Sales Person 18,1 month,3/13/19,10,CPI,CPI,Automotive,Other,1,3.0,100000,300000.0,No additional comments.,Level 4 - Customized product,Yes,Standard,2/11/19 0:00,2/11/19,OP-007369,30,fr02,500
OP-007370,REMY GARNIER,Ecrou U1874 doré et chromé,France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,domestique,Sales Person 2,3 months,5/12/19,30,CPI,CPI,Other Electr. Appli,Other,3,2.5,2000,5000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/11/19 0:00,2/11/19,OP-007370,90,fr02,5000
OP-005933,Lutz Pumpen GmbH,LUTZ PUMPEN IR+FP,Germany,DE-8PV,3-I Range,1-SWITCH,other,Sales Person 33,1 month,3/22/18,50,Quotation,Other,Other Electr. Appli,Lutz Pumpen GmbH,3,4.5,3000,13500.0,No additional comments.,Unknown,No,Non Strategic,2/20/18 0:00,2/20/18,OP-005933,30,fr02,20000
OP-005934,LAUDREN ELECTRONIQUE,Laudren / projet Bluesolution,France,OUEST,1-SWITCH,1-SWITCH,bus électrique,Sales Person 6,18 months,8/14/19,30,SpecialPrice,SP,Other Electr. Appli,Other,0,0.0,1000,0.0,No additional comments.,Unknown,No,Non Strategic,2/20/18 0:00,2/20/18,OP-005934,540,fr02,30000
OP-005936,WASTE TECHNOLOGY SERVICE B.V.,AV22PNN8X2422,Netherlands,BE-NORTH,3-Anti-Vandal,1-SWITCH,waste containers,Sales Person 21,1 month,3/22/18,50,CPI,CPI,Other Electr. Appli,WASTE TECHNOLOGY SER,5,16.0,500,8000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/20/18 0:00,2/20/18,OP-005936,30,fr02,10000
OP-005937,JLG EMEA B.V.,Q16 Series Secret Until Lit,Netherlands,BE-NORTH,3-Component Indicators,1-Indicator,lift platform,Sales Person 20,<  1 month,3/7/18,10,CPICC,CPI,MaH,JLG,10,3.5,750,2625.0,"Order quantities: 100 - 250 - 500 pcs
Definition of these indicators: check the attached file",Unknown,No,Non Strategic,2/20/18 0:00,2/20/18,OP-005937,15,fr02,4000
OP-007377,FRESENIUS VIAL S.A,"ANALYSE CLAVIER SUITE PB ""QUALITE""",France,SUD_EST,1-KEYBOARD,1-KEYBOARD,medical,Sales Person 10,<  1 month,2/27/19,90,CPI,CPI,Medical,Other,1,1000.0,1,1000.0,No additional comments.,Level 3 - Heavy product modification,Yes,Standard,2/12/19 0:00,2/12/19,OP-007377,15,fr02,1000
OP-007379,DDZF,Chiffrage kit S71KPTS003,France,CENTRE_IDF_1/2_EST,1-KEYBOARD,1-KEYBOARD,dge,Sales Person 2,<  1 month,2/27/19,30,CPI,CPI,DgE,Other,1,30.0,180,5400.0,No additional comments.,Level 3 - Heavy product modification,Yes,Focus,2/12/19 0:00,2/12/19,OP-007379,15,fr02,5000
OP-007380,TRANSMETRON CONTROLS,Piezo specifique,France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,medical,Sales Person 2,3 months,5/13/19,30,CPI,CPI,Medical,Other,3,20.0,500,10000.0,No additional comments.,Level 3 - Heavy product modification,No,Non Strategic,2/12/19 0:00,2/12/19,OP-007380,90,fr02,10000
OP-007381,TECNOWELL S.R.L.,piezo 19mm with AC diode,Italy,IT-RESALE,4-PBA,1-SWITCH,wellness,Sales Person 41,<  1 month,2/27/19,80,CPI,CPI,Inst. Cons. Comp,Other,5,28.3,100,2830.0,No additional comments.,Level 1 - No product modification,No,Non Strategic,2/12/19 0:00,2/12/19,OP-007381,15,fr02,2835
OP-005938,LAUDREN ELECTRONIQUE,Laudren / Joystick FG - Poignée Alu - V4,France,OUEST,1-KEYBOARD,1-KEYBOARD,other,Sales Person 6,3 months,5/21/18,30,CPI,CPI,Other applications,Other,1,850.0,56,47600.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,2/20/18 0:00,2/20/18,OP-005938,90,fr02,15000
OP-005939,OMEGA FUSIBILI S.P.A.,IT - EPIC - 5637A-28 avec fils,Italy,EXPORT3,4-5000,1-SWITCH,other,Sales Person 3,12 months,2/15/19,100,CPI,CPI,Other applications,EPIC,1,2.2843,5000,11421.5,No additional comments.,Level 1 - No product modification,No,Non Strategic,2/20/18 0:00,2/20/18,OP-005939,360,fr02,11421
OP-005940,TTI INC,Tarif spé IKN0603000 pour 14kpcs,France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,other,Sales Person 2,<  1 month,3/8/18,30,SpecialPrice,SP,,Other,0,0.0,14000,0.0,"Bonjour,
Pas possible. Marge trop faible et pas assez d'info.
-MG-",Unknown,No,Non Strategic,2/21/18 0:00,2/21/18,OP-005940,15,fr02,9000
OP-007386,SERAP,SERAP / Clavier Rainbow RL30,France,OUEST,1-KEYBOARD,1-KEYBOARD,agm,Sales Person 6,12 months,2/8/20,30,CPI,CPI,AgM,Other,5,15.0,1600,24000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/13/19 0:00,2/13/19,OP-007386,360,fr02,25000
OP-005942,CONTROL DEVICES,AU - Control Dev. - BJC - CT33/6/7/9,Australia,EXPORT1,4-CT,1-SWITCH,other,Sales Person 5,3 months,5/22/18,10,Quotation,Quote,Indirect Sales,Other,0,5.0,5000,0.0,No additional comments.,Unknown,No,Non Strategic,2/21/18 0:00,2/21/18,OP-005942,90,fr02,25000
